,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
344,JUV011,211215,345,4755.772993,4755.772993,4755.801327,4757.962318,4757.962318,2,2,go,1,normal,2
345,JUV011,211215,346,4757.97399,4758.047317,4759.493989,4761.906635,4761.906635,2,2,go,14,normal,2
346,JUV011,211215,347,4761.939635,4762.020802,4763.457296,,4766.083785,6,-1,go,14,normal,
347,JUV011,211215,348,4766.097619,,4766.097619,,4783.34555,5,0,nogo,1,normal,
348,JUV011,211215,349,4787.274367,,,,4790.524688,5,0,nogo,0,normal,
349,JUV011,211215,350,4794.11884,4794.521672,,4794.523838,4794.523838,2,2,go,0,normal,2
350,JUV011,211215,351,4794.557171,4794.629838,4796.024332,,4802.035142,6,0,nogo,15,normal,
351,JUV011,211215,352,4805.517294,,,,4808.767615,6,0,nogo,0,normal,
352,JUV011,211215,353,4812.38311,4812.776432,,4812.778598,4812.778598,3,2,go,0,normal,2
353,JUV011,211215,354,4812.819271,4812.886265,4816.862749,,4819.101407,6,-1,go,15,normal,
354,JUV011,211215,355,4819.122573,4833.060517,4819.122573,4833.062684,4833.062684,1,2,go,1,normal,2
355,JUV011,211215,356,4833.096017,4833.16335,4834.398679,,4840.580487,6,0,nogo,13,normal,
356,JUV011,211215,357,4845.256802,,,,4848.507122,7,0,nogo,0,normal,
357,JUV011,211215,358,4853.14727,,,,4856.397594,7,0,nogo,0,normal,
358,JUV011,211215,359,4860.228075,4860.555574,,4860.557746,4860.557746,2,2,go,0,normal,2
359,JUV011,211215,360,4860.591074,4860.65874,4861.906902,,4868.771708,6,0,nogo,11,normal,
360,JUV011,211215,361,4873.567522,,,,4876.817842,6,0,nogo,0,normal,
361,JUV011,211215,362,4881.193158,,,,4884.443479,6,0,nogo,0,normal,
362,JUV011,211215,363,4889.05946,,,,4892.30978,7,0,nogo,0,normal,
363,JUV011,211215,364,4895.893766,4896.114765,,4896.116932,4896.116932,4,2,go,0,normal,2
364,JUV011,211215,365,4896.150099,4896.190265,4897.434093,4901.290078,4901.290078,4,2,go,7,normal,2
365,JUV011,211215,366,4901.331411,4901.399077,4904.913563,,4908.874214,14,0,go,15,normal,
366,JUV011,211215,367,4908.881214,4913.137364,4908.881214,4913.13953,4913.13953,3,2,go,1,normal,2
367,JUV011,211215,368,4913.18003,4913.246363,4914.367692,4917.012348,4917.012348,1,2,go,12,normal,2
368,JUV011,211215,369,4917.038682,4917.085848,4918.637514,,4921.453497,6,-1,go,9,normal,
369,JUV011,211215,370,4921.467331,4935.651774,4921.467331,4935.65394,4935.65394,1,2,go,1,normal,2
370,JUV011,211215,371,4935.687274,4935.761773,4937.129106,4940.124923,4940.124923,4,2,go,9,normal,2
371,JUV011,211215,372,4940.165426,4940.244922,4944.930903,,4950.182392,7,0,nogo,15,normal,
372,JUV011,211215,373,4954.022534,4954.332873,,4954.335199,4954.335199,2,2,go,0,normal,2
373,JUV011,211215,374,4954.368366,4954.435032,4955.70336,4958.756681,4958.756681,3,2,go,10,normal,2
